2184374,5982,1,Emergency Contraception Website,*Main Site - Emergency Contraception Website,"Wallace Hall, Princeton U",Office of Population Research,Princeton,8544,http://ec.princeton.edu,Emergency Contraception Website,NULL,Emergency Contraception Website,"Website offers information on emergency contraception and provides a searchable database of emergency contraceptive providers in the United States. Website information is available in Spanish, French and Arabic.",Website offers information on emergency contraception and provides a searchable database of emergency contraceptive providers in the United States.,Website offers information on emergency contraception and provides a searchable database of emergency contraceptive providers in the United States.,@,^Birth Control/Family Planning/Pregnancy;^Don't Map This Resource
2185844,1132,5,Seattle Children's,*Main Site - Seattle Children's,4800 Sand Point Way NE,,Seattle,98105,http://seattlechildrens.org,Adolescent Medicine Program,http://www.seattlechildrens.org,Adolescent Medicine Program,NULL,"Provides consultation, diagnosis and treatment for health issues that commonly come up during the adolescent years. Provides specialized care for young people with long-lasting conditions, such as eating disorders, obesity and chronic pain.",NULL,NULL,^Health Concerns
2185845,1132,6,Seattle Children's,*Main Site - Seattle Children's,4800 Sand Point Way NE,,Seattle,98105,http://seattlechildrens.org,Better Babysitters,http://www.seattlechildrens.org/classes,Better Babysitters,"Offers babysitter training program for youth, 11- 13; teaches basic child development, infant and child care, safety, how to handle emergencies, age-appropriate toys, business hints and what parents expect. $40 per student.","Offers babysitter training program for youth, 11- 13; teaches basic child development, infant and child care, safety, how to handle emergencies, age-appropriate toys, business hints and what parents expect.",NULL,NULL,^Employment & Job Training
2185866,1132,17,Seattle Children's,Seattle Children's - Springbrook Professional Center,4540 Sand Point Way NE,"Building 1, Suite 200",Seattle,98105,http://seattlechildrens.org,Adolescent Substance Abuse Treatment,http://www.seattlechildrens.org/clinics-programs/adolescent-substance-abuse/,Adolescent Substance Abuse Treatment,Provides outpatient substance abuse treatment for youth up to age 20. Specializes in caring for teens and young adults who have ongoing medical or mental health conditions in addition to addiction. Accepts Medicaid and insurance.,"Provides outpatient substance abuse treatment for youth up to age 20. Specializes in caring for teens and young adults who have ongoing medical or mental health conditions in addition to a problem with drugs, tobacco or alcohol.",NULL,NULL,^Alcohol & Drugs
2185902,1377,3,Gay City Health Project,*Main Site - Gay City Health Project,517 E Pike St,,Seattle,98122,http://gaycity.org,HIV/STI Testing,http://www.gaycity.org/testing,HIV/STI Testing,"Provides anonymous or confidential HIV/STI testing primarily for gay, bisexual and transgender men, ages 14 and older. No fees; donations accepted.","Provides anonymous or confidential HIV/STI testing primarily for gay, bisexual and transgender men, ages 14 and older.","Provides anonymous or confidential HIV/STD testing primarily for gay, bisexual and transgender men, ages 14 and older. Call for an appointment.",@&,^GLBTQ;^STIs (including HIV/AIDS)
2185903,1377,4,Gay City Health Project,*Main Site - Gay City Health Project,517 E Pike St,,Seattle,98122,http://gaycity.org,LGBT Helpline,http://www.gaycity.org/resources,LGBT Helpline,"Refers to local organizations who primarily identify with and/or serve the LGBTQI community. Subject areas include medical clinics, chemical dependency, HIV/AIDS, legal, older adults, transgender and youth.","Refers to local organizations who primarily identify with and/or serve the LGBTQI community. Subject areas include medical clinics, chemical dependency, HIV/AIDS, legal, older adults, transgender and youth. Call or visit website.","Provides information and referral to local organizations who are primarily identify with and/or serve the lesbian, gay, bisexual and transgender community. Topics include employment, medical clinics, chemical dependency, parenting, HIV/AIDS, housing, legal, and youth.",@&,^Don't Map This Resource;^GLBTQ
2187943,1028,8,Valley Cities Counseling & Consultation - Federal Way Youth & Family Services,*Main Site - Valley Cities Counseling & Consultation - Federal Way Youth & Family Services,33301 1st Way S,Suite C-115,Federal Way,98003,http://valleycities.org,Family Support Services,NULL,Family Support Services,"Offers a computer lab, ESOL classes, parenting classes, Girls Circle Program, advocacy services, after-school development programs and a family fun night for families in the Federal Way school district. No fees.","Offers a computer lab, ESOL classes, parenting classes, Girls Circle Program, advocacy services, after-school development programs and a family fun night.","Offers a computer lab, English for Speakers of Other Languages (ESOL) classes, parent/caregiver support and education, Girls Circle Program which offers services to at-risk youth, advocacy services, after-school youth development programs and family fun nights. For residents of the Federal Way School District region only.",@&,^At-Risk Youth
2187944,1028,8,Valley Cities Counseling & Consultation - Federal Way Youth & Family Services,Valley Cities Counseling & Consultation - Federal Way Youth & Family Services - Laurelwood Gardens Family Center,29505 21st Ave S,Suite 4,Federal Way,98003,http://valleycities.org,Family Support Services,NULL,Family Support Services,"Offers a computer lab, ESOL classes, parenting classes, Girls Circle Program, advocacy services, after-school development programs and a family fun night for families in the Federal Way school district. No fees.","Offers a computer lab, ESOL classes, parenting classes, Girls Circle Program, advocacy services, after-school development programs and a family fun night.","Offers a computer lab, English for Speakers of Other Languages (ESOL) classes, parent/caregiver support and education, Girls Circle Program which offers services to at-risk youth, advocacy services, after-school youth development programs and family fun nights. For residents of the Federal Way School District region only.",@&,^At-Risk Youth
2198182,1462,4,Asian Counseling and Referral Service,*Main Site - Asian Counseling and Referral Service,3639 MLK Jr Way S,,Seattle,98144,http://acrs.org,"Children, Youth and Family Counseling",NULL,"Children, Youth and Family Counseling","Provides individual and family counseling and case management services to youth and families. Targets Asian/Pacific Islanders by providing multilingual, multicultural services. Offers sliding scale fees. Accepts Medicaid and insurance.","Provides individual and family counseling and case management services to youth and families. Targets Asian/Pacific Islanders by providing multilingual, multicultural services.",NULL,NULL,^Counseling;^Culturally Specific Agencies
2198183,1462,5,Asian Counseling and Referral Service,*Main Site - Asian Counseling and Referral Service,3639 MLK Jr Way S,,Seattle,98144,http://acrs.org,Children and Youth - Prevention/Early Intervention Services,NULL,Children and Youth - Prevention/Early Intervention Services,Provides school-based services focused on preventing violence and gang involvement; teaches leadership and conflict resolution.,Provides school-based services focused on preventing violence and gang involvement; teaches leadership and conflict resolution.,NULL,NULL,^Alcohol & Drugs;^At-Risk Youth;^Culturally Specific Agencies;^Dating & Domestic Violence
2198187,1462,10,Asian Counseling and Referral Service,*Main Site - Asian Counseling and Referral Service,3639 MLK Jr Way S,,Seattle,98144,http://acrs.org,Domestic Violence Intervention and Education Program,http://www.acrs.org,Domestic Violence Intervention and Education Program,Provides a state-certified domestic violence offenders program that is culturally sensitive and linguistically accessible to the Asian/Pacific Islander community.,Provides a state-certified domestic violence offenders program that is culturally sensitive and linguistically accessible to the Asian/Pacific Islander community. SATISFIES COURT-ORDERED REQUIREMENTS.,NULL,NULL,^Culturally Specific Agencies;^Dating & Domestic Violence
